dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.070778,0.827894,0.833775,2.235000,3.000000,-0.000000,1.384620
0.010000,0.075015,0.849991,0.856275,2.265000,3.000000,0.000000,1.378148
0.010000,0.079454,0.872355,0.879075,2.295000,3.000000,-0.000000,1.371497
0.010000,0.084105,0.894982,0.902175,2.325000,3.000000,0.000000,1.364664
0.010000,0.088974,0.917870,0.925575,2.355000,3.000000,-0.000000,1.357641
0.010000,0.094071,0.941015,0.949275,2.385000,3.000000,0.000000,1.350425
0.010000,0.099404,0.964415,0.973275,2.415000,3.000000,-0.000000,1.343011
0.010000,0.104981,0.988066,0.997575,2.445000,3.000000,0.000000,1.335393
0.010000,0.110812,1.011965,1.022175,2.475000,3.000000,-0.000000,1.327565
0.010000,0.116906,1.036108,1.047075,2.505000,3.000000,0.000000,1.319522
0.010000,0.123272,1.060490,1.072275,2.535000,3.000000,0.000000,1.311259
0.010000,0.129921,1.085108,1.097775,2.565000,3.000000,0.000000,1.302770
0.010000,0.136861,1.109957,1.123575,2.595000,3.000000,-0.000000,1.294050
0.010000,0.144105,1.135032,1.149675,2.625000,3.000000,0.000000,1.285092
0.010000,0.151661,1.160327,1.176075,2.655000,3.000000,0.000000,1.275891
0.010000,0.159542,1.185838,1.202775,2.685000,3.000000,-0.000000,1.266441
0.010000,0.167758,1.211557,1.229775,2.715000,3.000000,0.000000,1.256737
0.010000,0.176320,1.237479,1.257075,2.745000,3.000000,0.000000,1.246773
0.010000,0.185241,1.263598,1.284675,2.775000,3.000000,0.000000,1.236543
0.010000,0.194532,1.289905,1.312575,2.805000,3.000000,-0.000000,1.226042
0.010000,0.204205,1.316394,1.340775,2.835000,3.000000,0.000000,1.215265
0.010000,0.214272,1.343057,1.369275,2.865000,3.000000,0.000000,1.204207
0.010000,0.224742,1.369870,1.398060,2.892000,2.700000,-30.000000,1.192869
0.010000,0.235613,1.396798,1.427100,2.916000,2.400000,-30.000000,1.181258
0.010000,0.246887,1.423804,1.456365,2.937000,2.100000,-30.000000,1.169385
0.010000,0.258561,1.450852,1.485825,2.955000,1.800000,-30.000000,1.157258
0.010000,0.270633,1.477906,1.515450,2.970000,1.500000,-30.000000,1.144889
0.010000,0.283099,1.504929,1.545210,2.982000,1.200000,-30.000000,1.132291
0.010000,0.295951,1.531887,1.575075,2.991000,0.900000,-30.000000,1.119476
0.010000,0.309184,1.558744,1.605015,2.997000,0.600000,-30.000000,1.106461
0.010000,0.322789,1.585464,1.635000,3.000000,0.300000,-30.000000,1.093261
0.010000,0.336754,1.612016,1.665000,3.000000,0.000000,-30.000000,1.079893
0.010000,0.351075,1.638377,1.695000,3.000000,0.000000,0.000000,1.066369
0.010000,0.365753,1.664540,1.725000,3.000000,0.000000,0.000000,1.052696
0.010000,0.380789,1.690500,1.755000,3.000000,0.000000,0.000000,1.038878
0.010000,0.396184,1.716248,1.785000,3.000000,0.000000,0.000000,1.024924
0.010000,0.411939,1.741778,1.815000,3.000000,0.000000,0.000000,1.010840
0.010000,0.428053,1.767083,1.845000,3.000000,0.000000,0.000000,0.996634
0.010000,0.444526,1.792155,1.875000,3.000000,0.000000,0.000000,0.982315
0.010000,0.461359,1.816987,1.905000,3.000000,0.000000,0.000000,0.967892
0.010000,0.478548,1.841574,1.935000,3.000000,0.000000,0.000000,0.953374
0.010000,0.496094,1.865907,1.965000,3.000000,0.000000,0.000000,0.938770
0.010000,0.513994,1.889982,1.995000,3.000000,0.000000,0.000000,0.924091
0.010000,0.532247,1.913790,2.025000,3.000000,0.000000,0.000000,0.909348
0.010000,0.550849,1.937326,2.055000,3.000000,0.000000,0.000000,0.894552
0.010000,0.569798,1.960584,2.085000,3.000000,0.000000,0.000000,0.879713
0.010000,0.589090,1.983557,2.115000,3.000000,0.000000,0.000000,0.864844
0.010000,0.608722,2.006241,2.145000,3.000000,0.000000,0.000000,0.849956
0.010000,0.628690,2.028631,2.175000,3.000000,0.000000,0.000000,0.835060
0.010000,0.648989,2.050720,2.205000,3.000000,0.000000,0.000000,0.820169
0.010000,0.669614,2.072505,2.235000,3.000000,0.000000,0.000000,0.805295
0.010000,0.690561,2.093981,2.265000,3.000000,0.000000,0.000000,0.790449
0.010000,0.711824,2.115144,2.295000,3.000000,0.000000,0.000000,0.775644
0.010000,0.733397,2.135990,2.325000,3.000000,0.000000,0.000000,0.760890
0.010000,0.755275,2.156517,2.355000,3.000000,0.000000,0.000000,0.746200
0.010000,0.777452,2.176720,2.385000,3.000000,0.000000,0.000000,0.731584
0.010000,0.799920,2.196599,2.415000,3.000000,0.000000,0.000000,0.717054
0.010000,0.822674,2.216150,2.445000,3.000000,0.000000,0.000000,0.702619
0.010000,0.845707,2.235371,2.475000,3.000000,0.000000,0.000000,0.688291
0.010000,0.869012,2.254262,2.505000,3.000000,0.000000,0.000000,0.674079
0.010000,0.892581,2.272822,2.535000,3.000000,0.000000,0.000000,0.659993
0.010000,0.916409,2.291049,2.565000,3.000000,0.000000,0.000000,0.646040
0.010000,0.940488,2.308943,2.595000,3.000000,0.000000,0.000000,0.632230
0.010000,0.964809,2.326506,2.625000,3.000000,0.000000,0.000000,0.618570
0.010000,0.989368,2.343736,2.655000,3.000000,0.000000,0.000000,0.605068
0.010000,1.014155,2.360635,2.685000,3.000000,0.000000,0.000000,0.591730
0.010000,1.039164,2.377204,2.715000,3.000000,0.000000,0.000000,0.578563
0.010000,1.064387,2.393445,2.745000,3.000000,0.000000,0.000000,0.565572
0.010000,1.089818,2.409359,2.775000,3.000000,0.000000,0.000000,0.552762
0.010000,1.115450,2.424948,2.805000,3.000000,0.000000,0.000000,0.540137
0.010000,1.141274,2.440215,2.835000,3.000000,0.000000,0.000000,0.527703
0.010000,1.167285,2.455162,2.865000,3.000000,0.000000,0.000000,0.515462
0.010000,1.193476,2.469792,2.895000,3.000000,0.000000,0.000000,0.503417
0.010000,1.219839,2.484108,2.925000,3.000000,0.000000,0.000000,0.491570
0.010000,1.246369,2.498114,2.955000,3.000000,0.000000,0.000000,0.479925
0.010000,1.273059,2.511812,2.985000,3.000000,0.000000,0.000000,0.468482
0.010000,1.299903,2.525207,3.015000,3.000000,0.000000,0.000000,0.457243
0.010000,1.326894,2.538302,3.045000,3.000000,0.000000,0.000000,0.446208
0.010000,1.354026,2.551101,3.075000,3.000000,0.000000,0.000000,0.435377
0.010000,1.381294,2.563609,3.105000,3.000000,0.000000,0.000000,0.424752
